Region,Being a DIK: (1/8/21 - 1/8/22)
Washington,100
Arizona,96
Massachusetts,91
Illinois,80
South Carolina,77
Colorado,76
Tennessee,69
Utah,67
Oklahoma,65
New York,63
California,60
Ohio,57
Minnesota,56
Virginia,56
New Jersey,53
Maryland,52
Indiana,52
Pennsylvania,51
Oregon,50
Michigan,44
Georgia,41
Kentucky,41
Florida,39
Missouri,38
North Carolina,37
Texas,35
Wisconsin,28
Connecticut,26
Wyoming,
Hawaii,
West Virginia,
Kansas,
South Dakota,
Idaho,
Iowa,
New Mexico,
Louisiana,
Rhode Island,
Arkansas,
Maine,
New Hampshire,
Alabama,
Nevada,
Nebraska,
Mississippi,
Alaska,
District of Columbia,
Delaware,
Montana,
North Dakota,
Vermont,
