Region,Rust: (1/1/04 - 1/10/22)
Maine,100
North Dakota,97
New Mexico,95
New Hampshire,93
Michigan,93
Vermont,92
West Virginia,90
Wisconsin,89
Indiana,89
South Dakota,88
Iowa,88
Ohio,85
Mississippi,85
Minnesota,83
Montana,82
Delaware,80
Kentucky,80
Rhode Island,79
Hawaii,79
Utah,79
Idaho,79
Washington,78
Alaska,78
Pennsylvania,77
Arkansas,77
Nebraska,77
Oregon,74
Kansas,73
Wyoming,73
Missouri,72
Tennessee,71
Connecticut,70
Oklahoma,70
Louisiana,70
Illinois,69
Florida,68
Colorado,67
North Carolina,67
Massachusetts,67
Maryland,67
Alabama,66
South Carolina,66
Arizona,64
Virginia,63
Texas,63
California,62
New Jersey,62
New York,59
Nevada,58
Georgia,58
District of Columbia,46
