Region,VTOL VR: (1/8/21 - 1/8/22)
Washington,100
Florida,60
Arizona,37
Texas,29
Michigan,28
California,25
New York,25
Illinois,19
North Carolina,12
Ohio,11
Idaho,
Montana,
New Mexico,
Utah,
District of Columbia,
Rhode Island,
Iowa,
West Virginia,
Oklahoma,
Nevada,
Missouri,
Pennsylvania,
Massachusetts,
Indiana,
Colorado,
New Jersey,
Kentucky,
Louisiana,
Connecticut,
South Carolina,
Maryland,
Georgia,
Alaska,
Alabama,
Arkansas,
Delaware,
Hawaii,
Kansas,
Maine,
Minnesota,
Mississippi,
North Dakota,
Nebraska,
New Hampshire,
Oregon,
South Dakota,
Tennessee,
Virginia,
Vermont,
Wisconsin,
Wyoming,
