Week,Being a DIK: (United States)
1/10/2021,13
1/17/2021,77
1/24/2021,26
1/31/2021,32
2/7/2021,26
2/14/2021,20
2/21/2021,26
2/28/2021,20
3/7/2021,27
3/14/2021,37
3/21/2021,46
3/28/2021,34
4/4/2021,13
4/11/2021,20
4/18/2021,74
4/25/2021,53
5/2/2021,59
5/9/2021,41
5/16/2021,20
5/23/2021,34
5/30/2021,14
6/6/2021,47
6/13/2021,41
6/20/2021,47
6/27/2021,27
7/4/2021,14
7/11/2021,20
7/18/2021,62
7/25/2021,40
8/1/2021,48
8/8/2021,83
8/15/2021,41
8/22/2021,42
8/29/2021,21
9/5/2021,22
9/12/2021,14
9/19/2021,14
9/26/2021,0
10/3/2021,48
10/10/2021,25
10/17/2021,55
10/24/2021,40
10/31/2021,40
11/7/2021,25
11/14/2021,73
11/21/2021,100
11/28/2021,66
12/5/2021,54
12/12/2021,30
12/19/2021,53
12/26/2021,55
1/2/2022,34
