Month,New World: (United States)
2004-01,40
2004-02,39
2004-03,36
2004-04,41
2004-05,42
2004-06,33
2004-07,31
2004-08,34
2004-09,39
2004-10,42
2004-11,40
2004-12,42
2005-01,36
2005-02,36
2005-03,39
2005-04,40
2005-05,41
2005-06,35
2005-07,34
2005-08,31
2005-09,41
2005-10,33
2005-11,36
2005-12,42
2006-01,52
2006-02,39
2006-03,39
2006-04,37
2006-05,40
2006-06,42
2006-07,33
2006-08,34
2006-09,35
2006-10,38
2006-11,36
2006-12,36
2007-01,33
2007-02,31
2007-03,33
2007-04,30
2007-05,32
2007-06,36
2007-07,39
2007-08,31
2007-09,37
2007-10,38
2007-11,34
2007-12,36
2008-01,36
2008-02,34
2008-03,35
2008-04,35
2008-05,35
2008-06,32
2008-07,31
2008-08,29
2008-09,35
2008-10,38
2008-11,40
2008-12,37
2009-01,37
2009-02,36
2009-03,35
2009-04,38
2009-05,35
2009-06,34
2009-07,31
2009-08,35
2009-09,39
2009-10,40
2009-11,41
2009-12,39
2010-01,40
2010-02,37
2010-03,34
2010-04,36
2010-05,35
2010-06,46
2010-07,40
2010-08,35
2010-09,37
2010-10,34
2010-11,32
2010-12,32
2011-01,37
2011-02,34
2011-03,35
2011-04,37
2011-05,40
2011-06,31
2011-07,33
2011-08,34
2011-09,41
2011-10,37
2011-11,33
2011-12,33
2012-01,34
2012-02,32
2012-03,32
2012-04,32
2012-05,31
2012-06,26
2012-07,27
2012-08,30
2012-09,37
2012-10,30
2012-11,32
2012-12,33
2013-01,30
2013-02,31
2013-03,31
2013-04,32
2013-05,32
2013-06,30
2013-07,34
2013-08,32
2013-09,34
2013-10,33
2013-11,34
2013-12,33
2014-01,31
2014-02,30
2014-03,31
2014-04,32
2014-05,32
2014-06,41
2014-07,33
2014-08,29
2014-09,31
2014-10,31
2014-11,29
2014-12,29
2015-01,31
2015-02,32
2015-03,31
2015-04,31
2015-05,29
2015-06,33
2015-07,28
2015-08,30
2015-09,35
2015-10,34
2015-11,32
2015-12,30
2016-01,29
2016-02,28
2016-03,28
2016-04,28
2016-05,28
2016-06,24
2016-07,23
2016-08,23
2016-09,30
2016-10,28
2016-11,30
2016-12,26
2017-01,29
2017-02,26
2017-03,27
2017-04,26
2017-05,26
2017-06,21
2017-07,20
2017-08,24
2017-09,26
2017-10,28
2017-11,27
2017-12,28
2018-01,27
2018-02,26
2018-03,24
2018-04,26
2018-05,25
2018-06,32
2018-07,27
2018-08,24
2018-09,26
2018-10,26
2018-11,24
2018-12,25
2019-01,26
2019-02,25
2019-03,25
2019-04,25
2019-05,27
2019-06,28
2019-07,29
2019-08,21
2019-09,25
2019-10,27
2019-11,23
2019-12,26
2020-01,27
2020-02,24
2020-03,30
2020-04,30
2020-05,27
2020-06,23
2020-07,24
2020-08,26
2020-09,30
2020-10,25
2020-11,21
2020-12,22
2021-01,24
2021-02,23
2021-03,22
2021-04,21
2021-05,22
2021-06,21
2021-07,34
2021-08,25
2021-09,45
2021-10,100
2021-11,46
2021-12,30
2022-01,30
