Week,Vampire: (United States)
1/10/2021,71
1/17/2021,74
1/24/2021,93
1/31/2021,83
2/7/2021,77
2/14/2021,81
2/21/2021,71
2/28/2021,71
3/7/2021,67
3/14/2021,65
3/21/2021,60
3/28/2021,61
4/4/2021,65
4/11/2021,65
4/18/2021,66
4/25/2021,61
5/2/2021,61
5/9/2021,74
5/16/2021,67
5/23/2021,65
5/30/2021,65
6/6/2021,65
6/13/2021,66
6/20/2021,61
6/27/2021,69
7/4/2021,64
7/11/2021,65
7/18/2021,73
7/25/2021,71
8/1/2021,65
8/8/2021,62
8/15/2021,63
8/22/2021,62
8/29/2021,61
9/5/2021,62
9/12/2021,63
9/19/2021,60
9/26/2021,67
10/3/2021,71
10/10/2021,73
10/17/2021,75
10/24/2021,100
10/31/2021,75
11/7/2021,58
11/14/2021,54
11/21/2021,59
11/28/2021,53
12/5/2021,52
12/12/2021,58
12/19/2021,57
12/26/2021,59
1/2/2022,62
