Region,Apex Legends: (1/1/04 - 1/10/22)
Utah,100
New Mexico,98
Idaho,94
South Dakota,89
Nevada,87
Oklahoma,84
Indiana,83
Arizona,82
Kentucky,80
Arkansas,80
Colorado,79
Washington,79
West Virginia,78
Wyoming,77
Montana,77
North Dakota,76
Hawaii,75
Maine,75
Iowa,75
Ohio,74
Oregon,73
Alaska,72
Kansas,71
Texas,70
Michigan,70
Wisconsin,70
Tennessee,69
South Carolina,69
California,67
Maryland,67
North Carolina,67
Missouri,66
Alabama,66
New Hampshire,65
Connecticut,62
Minnesota,62
Rhode Island,61
Pennsylvania,60
Vermont,60
Nebraska,59
Florida,59
Delaware,59
Mississippi,57
Louisiana,57
Illinois,55
Virginia,55
New Jersey,54
Georgia,52
Massachusetts,49
New York,45
District of Columbia,13
