Region,New World: (1/1/04 - 1/10/22)
Louisiana,100
New Jersey,87
New York,81
New Mexico,80
Vermont,75
New Hampshire,75
Connecticut,70
Massachusetts,66
Rhode Island,64
Maine,61
Delaware,60
District of Columbia,60
Florida,59
Pennsylvania,57
Indiana,55
Texas,55
Hawaii,55
Kentucky,54
Oklahoma,54
Maryland,53
Mississippi,53
California,53
Nevada,53
Kansas,53
Utah,52
Colorado,52
Missouri,52
Washington,52
Alaska,52
Arizona,52
North Dakota,52
Arkansas,52
South Carolina,52
Virginia,52
West Virginia,52
Nebraska,51
Alabama,51
Georgia,51
Wyoming,50
Ohio,50
Illinois,50
North Carolina,49
Wisconsin,49
Tennessee,49
Idaho,48
Iowa,48
Michigan,48
Minnesota,48
Montana,47
Oregon,45
South Dakota,45
