Month,Counter-Strike: Global Offensive: (United States)
2004-01,58
2004-02,52
2004-03,38
2004-04,42
2004-05,39
2004-06,35
2004-07,36
2004-08,37
2004-09,27
2004-10,29
2004-11,20
2004-12,26
2005-01,25
2005-02,21
2005-03,26
2005-04,20
2005-05,15
2005-06,16
2005-07,24
2005-08,21
2005-09,19
2005-10,15
2005-11,16
2005-12,17
2006-01,14
2006-02,14
2006-03,13
2006-04,14
2006-05,10
2006-06,12
2006-07,15
2006-08,11
2006-09,14
2006-10,10
2006-11,11
2006-12,11
2007-01,12
2007-02,10
2007-03,8
2007-04,11
2007-05,10
2007-06,10
2007-07,9
2007-08,7
2007-09,7
2007-10,7
2007-11,5
2007-12,7
2008-01,6
2008-02,5
2008-03,6
2008-04,5
2008-05,7
2008-06,6
2008-07,5
2008-08,6
2008-09,4
2008-10,4
2008-11,3
2008-12,4
2009-01,4
2009-02,3
2009-03,4
2009-04,3
2009-05,3
2009-06,3
2009-07,3
2009-08,3
2009-09,3
2009-10,3
2009-11,3
2009-12,3
2010-01,3
2010-02,3
2010-03,2
2010-04,2
2010-05,2
2010-06,3
2010-07,2
2010-08,2
2010-09,2
2010-10,2
2010-11,2
2010-12,2
2011-01,1
2011-02,1
2011-03,1
2011-04,1
2011-05,1
2011-06,1
2011-07,1
2011-08,7
2011-09,3
2011-10,4
2011-11,3
2011-12,5
2012-01,4
2012-02,5
2012-03,6
2012-04,6
2012-05,4
2012-06,5
2012-07,5
2012-08,32
2012-09,11
2012-10,6
2012-11,7
2012-12,7
2013-01,6
2013-02,6
2013-03,5
2013-04,5
2013-05,6
2013-06,7
2013-07,8
2013-08,11
2013-09,10
2013-10,9
2013-11,10
2013-12,15
2014-01,16
2014-02,18
2014-03,19
2014-04,21
2014-05,24
2014-06,25
2014-07,39
2014-08,50
2014-09,40
2014-10,38
2014-11,44
2014-12,51
2015-01,70
2015-02,67
2015-03,68
2015-04,81
2015-05,85
2015-06,88
2015-07,96
2015-08,100
2015-09,90
2015-10,83
2015-11,78
2015-12,93
2016-01,86
2016-02,83
2016-03,80
2016-04,85
2016-05,75
2016-06,78
2016-07,72
2016-08,55
2016-09,43
2016-10,45
2016-11,44
2016-12,50
2017-01,57
2017-02,55
2017-03,55
2017-04,51
2017-05,42
2017-06,37
2017-07,44
2017-08,39
2017-09,34
2017-10,33
2017-11,30
2017-12,30
2018-01,40
2018-02,34
2018-03,27
2018-04,22
2018-05,22
2018-06,22
2018-07,24
2018-08,25
2018-09,23
2018-10,18
2018-11,18
2018-12,26
2019-01,24
2019-02,23
2019-03,21
2019-04,18
2019-05,20
2019-06,21
2019-07,21
2019-08,23
2019-09,21
2019-10,21
2019-11,20
2019-12,22
2020-01,23
2020-02,24
2020-03,29
2020-04,42
2020-05,36
2020-06,30
2020-07,27
2020-08,26
2020-09,24
2020-10,21
2020-11,20
2020-12,23
2021-01,23
2021-02,24
2021-03,22
2021-04,22
2021-05,20
2021-06,17
2021-07,17
2021-08,17
2021-09,19
2021-10,17
2021-11,17
2021-12,15
2022-01,17
