Month,Dota 2: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,1
2005-07,0
2005-08,0
2005-09,<1
2005-10,0
2005-11,0
2005-12,0
2006-01,<1
2006-02,0
2006-03,0
2006-04,<1
2006-05,0
2006-06,<1
2006-07,<1
2006-08,0
2006-09,0
2006-10,<1
2006-11,<1
2006-12,<1
2007-01,<1
2007-02,0
2007-03,<1
2007-04,0
2007-05,<1
2007-06,<1
2007-07,<1
2007-08,<1
2007-09,<1
2007-10,<1
2007-11,0
2007-12,1
2008-01,<1
2008-02,<1
2008-03,<1
2008-04,<1
2008-05,<1
2008-06,<1
2008-07,<1
2008-08,0
2008-09,<1
2008-10,<1
2008-11,<1
2008-12,<1
2009-01,<1
2009-02,0
2009-03,1
2009-04,1
2009-05,1
2009-06,1
2009-07,1
2009-08,<1
2009-09,0
2009-10,<1
2009-11,1
2009-12,<1
2010-01,<1
2010-02,<1
2010-03,<1
2010-04,<1
2010-05,1
2010-06,<1
2010-07,1
2010-08,1
2010-09,1
2010-10,6
2010-11,4
2010-12,3
2011-01,4
2011-02,3
2011-03,3
2011-04,4
2011-05,5
2011-06,5
2011-07,6
2011-08,38
2011-09,13
2011-10,12
2011-11,20
2011-12,25
2012-01,21
2012-02,27
2012-03,32
2012-04,31
2012-05,26
2012-06,39
2012-07,38
2012-08,37
2012-09,41
2012-10,34
2012-11,45
2012-12,45
2013-01,50
2013-02,50
2013-03,47
2013-04,44
2013-05,55
2013-06,51
2013-07,68
2013-08,95
2013-09,57
2013-10,54
2013-11,59
2013-12,60
2014-01,58
2014-02,59
2014-03,49
2014-04,51
2014-05,65
2014-06,64
2014-07,100
2014-08,64
2014-09,56
2014-10,43
2014-11,47
2014-12,40
2015-01,44
2015-02,50
2015-03,38
2015-04,41
2015-05,54
2015-06,49
2015-07,48
2015-08,69
2015-09,42
2015-10,38
2015-11,33
2015-12,37
2016-01,30
2016-02,29
2016-03,29
2016-04,29
2016-05,29
2016-06,32
2016-07,24
2016-08,40
2016-09,22
2016-10,22
2016-11,19
2016-12,33
2017-01,20
2017-02,19
2017-03,19
2017-04,21
2017-05,21
2017-06,21
2017-07,19
2017-08,37
2017-09,16
2017-10,15
2017-11,19
2017-12,14
2018-01,14
2018-02,14
2018-03,15
2018-04,14
2018-05,16
2018-06,17
2018-07,12
2018-08,29
2018-09,13
2018-10,11
2018-11,14
2018-12,10
2019-01,11
2019-02,13
2019-03,12
2019-04,9
2019-05,14
2019-06,13
2019-07,13
2019-08,24
2019-09,10
2019-10,10
2019-11,11
2019-12,10
2020-01,10
2020-02,10
2020-03,10
2020-04,12
2020-05,14
2020-06,14
2020-07,13
2020-08,11
2020-09,9
2020-10,9
2020-11,7
2020-12,10
2021-01,9
2021-02,9
2021-03,11
2021-04,14
2021-05,10
2021-06,12
2021-07,9
2021-08,8
2021-09,7
2021-10,13
2021-11,6
2021-12,6
2022-01,6
