Month,Grand Theft Auto V: (United States)
2004-01,<1
2004-02,<1
2004-03,<1
2004-04,<1
2004-05,<1
2004-06,<1
2004-07,<1
2004-08,<1
2004-09,<1
2004-10,<1
2004-11,<1
2004-12,<1
2005-01,<1
2005-02,<1
2005-03,<1
2005-04,<1
2005-05,<1
2005-06,<1
2005-07,<1
2005-08,<1
2005-09,<1
2005-10,<1
2005-11,<1
2005-12,<1
2006-01,<1
2006-02,<1
2006-03,<1
2006-04,<1
2006-05,<1
2006-06,<1
2006-07,<1
2006-08,<1
2006-09,<1
2006-10,<1
2006-11,<1
2006-12,<1
2007-01,<1
2007-02,<1
2007-03,<1
2007-04,<1
2007-05,<1
2007-06,<1
2007-07,<1
2007-08,<1
2007-09,<1
2007-10,<1
2007-11,<1
2007-12,<1
2008-01,<1
2008-02,<1
2008-03,<1
2008-04,1
2008-05,1
2008-06,1
2008-07,<1
2008-08,<1
2008-09,<1
2008-10,<1
2008-11,1
2008-12,1
2009-01,1
2009-02,1
2009-03,1
2009-04,1
2009-05,1
2009-06,1
2009-07,1
2009-08,1
2009-09,1
2009-10,1
2009-11,1
2009-12,1
2010-01,1
2010-02,1
2010-03,1
2010-04,1
2010-05,1
2010-06,1
2010-07,1
2010-08,1
2010-09,1
2010-10,1
2010-11,1
2010-12,1
2011-01,1
2011-02,1
2011-03,1
2011-04,1
2011-05,1
2011-06,1
2011-07,1
2011-08,1
2011-09,1
2011-10,2
2011-11,6
2011-12,3
2012-01,3
2012-02,3
2012-03,2
2012-04,2
2012-05,3
2012-06,3
2012-07,3
2012-08,3
2012-09,3
2012-10,3
2012-11,6
2012-12,4
2013-01,5
2013-02,4
2013-03,3
2013-04,3
2013-05,5
2013-06,4
2013-07,7
2013-08,11
2013-09,100
2013-10,95
2013-11,50
2013-12,46
2014-01,38
2014-02,27
2014-03,26
2014-04,23
2014-05,22
2014-06,24
2014-07,26
2014-08,22
2014-09,15
2014-10,14
2014-11,29
2014-12,32
2015-01,29
2015-02,22
2015-03,28
2015-04,31
2015-05,26
2015-06,27
2015-07,26
2015-08,21
2015-09,16
2015-10,16
2015-11,16
2015-12,22
2016-01,22
2016-02,18
2016-03,17
2016-04,15
2016-05,15
2016-06,23
2016-07,22
2016-08,17
2016-09,13
2016-10,14
2016-11,14
2016-12,22
2017-01,21
2017-02,17
2017-03,15
2017-04,15
2017-05,14
2017-06,19
2017-07,19
2017-08,16
2017-09,12
2017-10,10
2017-11,12
2017-12,19
2018-01,17
2018-02,12
2018-03,11
2018-04,9
2018-05,9
2018-06,11
2018-07,15
2018-08,12
2018-09,9
2018-10,7
2018-11,8
2018-12,10
2019-01,10
2019-02,9
2019-03,9
2019-04,8
2019-05,8
2019-06,11
2019-07,16
2019-08,14
2019-09,9
2019-10,8
2019-11,9
2019-12,14
2020-01,15
2020-02,15
2020-03,15
2020-04,22
2020-05,24
2020-06,15
2020-07,12
2020-08,12
2020-09,9
2020-10,9
2020-11,10
2020-12,15
2021-01,14
2021-02,13
2021-03,10
2021-04,11
2021-05,11
2021-06,11
2021-07,15
2021-08,13
2021-09,8
2021-10,6
2021-11,6
2021-12,9
2022-01,9
